nama_produk,deskripsi,kategori,sku,harga_beli,harga_jual,stok_awal,minimum_stok,satuan,jenis_kepemilikan,siklus_stok,kontak_supplier,keterangan
Energen,Minuman Seduh,MInuman Seduh,,3000,4000,20,35,,Koperasi,Mingguan,-,
Crime Late,Minuman Seduh,Minuman Seduh,,2000,3000,20,35,,Koperasi,Mingguan,-,
Susu,Minuman Seduh,Minuman Seduh,,2000,4000,20,35,,Koperasi,Mingguan,-,
Teh Pucuk,Minuman dalam kemasan,Minuman BOtol,,2500,4000,30,50,,Koperasi,Mingguan,-,
PIKDAS,Keripik Singkong Pedas,Makanan Ringan,,4000,5000,100,150,Pack,Titipan,Mingguan,8996831731,
Air Mineral ,Minuman dalam kemasan,Minuman Botol,,2000,3000,500,1000,,Koperasi,Mingguan,8112141227,
Ploridina,Minuman dalam kemasan,Minuman Botol,,,,,,,Koperasi,MIngguan,-,
Tempe Mendoan,Olahan Makanan dari tepung dan tempe,Makanan Ringan,,2000,3000,80,100,,Titipan,Harian,87722004513,
Bala - bala,Olahan dari sayuran dan tepung,Makanan Ringan,,2000,2500,50,100,,Titipan,Harian,81321039709,
Onigiri,Olahan Nasi,Makanan Ringan,,9000,10000,30,40,,Titipan,Harian,,
Risol Raka,Cemilan yang terbuat dari kulit dadar tipisberisi campuran daging dan sayur,Cemilan,,3000,3500,75,100,,Titipan,Harian,81228438392,
Sosis Solo,,Cemilan,,2500,3500,50,50,,Titipan,Harian,,
Lontong,Olahan nasi di bungkus daun pisang,Cemilan,,2000,2500,62,70,,Titipan,Harian,87722004513,
Gemblong,Olahan tepung dan Gula Merah,Cemilan,,2000,2500,25,30,,Titipan,Harian,87764332997,
Nasi Daun Jeruk,Nasi dalam bentuk kemasan dengan dicampur daun jeruk dengan ayam katsu,Makanan ,,12000,13000,25,35,,Titipan,Harian,87221492114,
Cireng Rara,Olahan tepung aci yang digoreng,Cemilan,,2000,2500,50,100,,Titipan,Harian,85179871633,
Cilok,Cemilan yang terbuat dari tepung tapioka dan di rebus,Cemilan,,2500,3500,43,50,,Titipan,Harian,8996963349,
Spageti,Makanan yang terbuat dari gandum atau tepung yang memanjang seperti mie ,Makanan Ringan,,9000,10000,25,30,,Titipan,Harian,81646905730,
Silahetot,Olahan dari terigu yang di kukus dan pedas,Makanan Ringan,,5000,6000,87,100,,Titipan ,Harian,89656085254,
Pangsit Basah,Makanan yang di buat dari adonan tepung terigu yang biasanya ada isian seperti daging dan sayuran,Cemilan,,10000,12000,25,30,,Titipan,Harian,895327442695,
Pangsit Goreng,Makanan yang di buat dari adonan tepung terigu yang biasanya ada isian seperti daging dan sayuran,Cemilan,,9000,10000,10,20,,Titipan,Harian,895327442695,
Baso Cilok Kriwil,Olahan Baso Cilok dengan level pedas,Makanan Ringan ,,10000,11000,10,20,,Titipan,Harian,85759175013,
Baso Tahu,makanan yang terbuat tahu yang di isi adonan bakso,Makanan Ringan,,9000,10000,15,20,,Titipan,Harian,85782058206,
Otak - otak,Olahan Nasi yang berwarna kuning biasanya di sajikan di pagi hari,Cemilan,,1000,2000,90,100,,Titipan,Harian,8886241847,
Nasi Kuning,Olahan Nasi yang berwarna kuning biasanya di sajikan di pagi hari,Makanan Ringan,,8500,10000,20,30,,Titipan,Harian,881022381633,
Donat,"Pangan manis yang terbuat dari adonan tepung terigu,ragi,gula, dan bahan lainy dan bentuknya bulat di tengahnya bolong ",Makanan Ringan,,2500,3500,30,35,,Titipan,Harian,81224308872,
Darlung,Makanan Tradisional yang terbuat dari penekuk tipis biasanya berwarna hijau dari daun pandan yang di gulung,Cemilan,,2500,3500,30,35,,Titipan,Harian,81224308872,
Ketan,Olahan yang terbuat dari beras ketan,Makanan Ringan,,2000,3000,25,30,,Titipan,Harian,81224308872,
Nasi Bakar,Olahan dari nasi yang di bumbui di beri isian di bungkus daun pisang lalu di bakar,Makanan Ringan,,8000,10000,15,20,,Titipan,Harian,89519011729,
Sandwich,"makanan yang terdiri dari isian daging, keju, dan sayuran yang diletakan di antara dua irisan roti",Makanan Ringan,,4500,5000,30,30,,Titipan,Harian,85860795346,
Ali Agrem,Terbuar dari tepung beras dan gula aren ,Cemilan,,2000,2500,30,50,,Titipan,Harian,87784533374,
Kripca,Cemilan ringan yang terbuat dari tepung tapioka atau singkong yang di iris tipis hingga transparan seperti kaca ,Cemilan,,4500,6000,68,100,,Titipan,Mingguan,81221045443,
Basreng Putri,Cemilan yang terbuat dari baso yang di goreng ,Makanan Ringan,,5000,6000,65,100,,Titipan ,Mingguan,81381439517,
Kerupuk Kriwil/Seblak Beton,Cemilan yang terbuat dari kerupuk yang di goreng dengan minyak ga panas sehinga tekturnya keras ,Makan,,2500,3000,72,100,,Titipan,Minguan,81214582252,
Ricebowl Kedai Oisih,Olahan nasi dalam wadah ,Makanan Ringan,,10000,12000,40,50,,Titipan,Harian,81322630527,
Cireng Danu,Cemilan yang terbuat dari tepung aci yag di goreng dan ada isisan ,Cemilan,,2000,25000,100,100,,Titipan,Harian,8879028888,
Chibay,Terbuat dari adonan aci yang dibungkus kulit lumpia lumpia,Cemilan ,,1500,2000,16,20,,Titipan,Harian,87221492114,
CCroll,Terbuat dari adonan aci yang dibungkus kulit lumpia lumpia,Cemilan,,1500,2000,40,50,,Titipan,Harian,87221492114,
Buah potong,Buah buahan yan di potong kecil kecil dan di masukan ke dalam wadah ,Cemilan,,7000,8000,21,30,,Titipan,Harian,87765952600,
Karoket,Cemilan yang terbuat dari kentang yang di tumbuk halus dengan aneka isian sayuran,Cemilan,,1500,2000,16,30,,Titipan,Harian,8996963349,
Minuman Hanaang,Minuman yang berasa ,Minuman ,,6500,8000,40,50,,Titipan,Mingguan,81809805811,
Susu Ultra,Minuman Susu olahan dengan berbagai rasa ,Minuman,,5000,7000,30,50,,Koperasi,Mingguan,-,
Bacang ,,Makanan Ringan,,,,,,,,,87784533374,
Baso Mercon,,,,,,,,,,,82318946343,
Bakwan Udang ,,,,,,,,,,,81320207164,
Risol pedas ,,,,,,,,,,,87822611696,
